id,data
1729,11
1511,11
1489,11
1136,11
1715,11
1816,11
2344,11
1484,11
1817,11
1708,11
1483,11
1482,11
1820,11
1270,11
1240,11
1704,11
2254,11
2087,11
2168,11
1773,11
1566,11
2274,11
1567,11
2281,11
2129,11
1570,11
2127,11
1119,11
1769,11
2288,11
1770,11
1319,11
1556,11
1571,11
2111,11
1107,11
1547,11
1546,11
2105,11
1121,11
1266,11
2267,11
1124,11
2097,11
2142,11
2256,11
1786,11
2310,11
1527,11
2210,11
2043,11
2134,11
2386,11
1087,11
1973,11
2379,11
2380,11
1361,11
2002,11
1975,11
1675,11
1674,11
1627,11
1600,11
1277,11
1886,11
1976,11
1416,11
1201,11
1202,11
1635,11
1413,11
1895,11
1899,11
1901,11
1611,11
1018,11
1359,11
1074,11
1836,11
2032,11
2410,11
1467,11
1271,11
1845,11
1641,11
2012,11
2018,11
1609,11
1854,11
1964,11
1935,11
1370,11
1637,11
1358,11
2395,11
2203,10
3690,10
2723,10
2652,10
2140,10
1659,10
1282,10
1747,10
2207,10
3687,10
2722,10
2201,10
3178,10
3705,10
2660,10
2675,10
3227,10
1098,10
2686,10
3216,10
3164,10
3897,10
1688,10
2703,10
2679,10
3244,10
3245,10
2190,10
2719,10
3196,10
3711,10
1737,10
3902,10
2153,10
3903,10
3881,10
1108,10
2914,10
1664,10
1742,10
2697,10
3001,10
1761,10
1855,10
2862,10
2859,10
3016,10
3836,10
1857,10
3771,10
2844,10
3839,10
3158,10
1853,10
1228,10
1146,10
1842,10
1840,10
3046,10
2040,10
1218,10
1875,10
1999,10
2867,10
1950,10
1943,10
1956,10
1939,10
2935,10
1961,10
2940,10
2949,10
3823,10
2953,10
2969,10
2975,10
2881,10
2873,10
1890,10
1830,10
1231,10
1829,10
2091,10
1792,10
2775,10
1784,10
2769,10
2768,10
2762,10
2761,10
3135,10
1777,10
1776,10
2110,10
2115,10
3733,10
1114,10
2735,10
3116,10
1793,10
3068,10
3112,10
3070,10
1140,10
1821,10
2054,10
1814,10
3854,10
1810,10
3091,10
3094,10
1244,10
1802,10
2791,10
3107,10
1132,10
3111,10
1788,10
1668,10
1648,10
1035,10
2315,10
2318,10
1332,10
3446,10
2517,10
1504,10
2514,10
3630,10
3956,10
1497,10
1494,10
1345,10
3622,10
2343,10
2346,10
2349,10
3433,10
2527,10
3939,10
1044,10
2275,10
2564,10
1564,10
2560,10
1045,10
1554,10
3398,10
1043,10
1532,10
1541,10
1539,10
1324,10
2303,10
3410,10
2536,10
2308,10
3483,10
2489,10
3486,10
3562,10
2449,10
2447,10
2389,10
3551,10
3556,10
3557,10
1405,10
1008,10
2355,10
3566,10
1369,10
1394,10
2421,10
1385,10
2419,10
1372,10
1014,10
1017,10
3529,10
2372,10
3491,10
3492,10
2359,10
1469,10
3499,10
1022,10
1021,10
2475,10
3503,10
3514,10
2469,10
1357,10
1449,10
1447,10
2464,10
3378,10
2910,10
1059,10
2583,10
3675,10
1296,10
3917,10
1619,10
1624,10
3351,10
3333,10
3300,10
2251,10
3336,10
2593,10
3677,10
3928,10
3929,10
2597,10
1629,10
2627,10
2255,10
1589,10
3683,10
3911,10
3914,10
2259,10
2642,10
3317,10
2578,10
3362,10
2261,10
3319,10
1610,10
1643,10
2216,10
3363,10
1685,9
3008,9
3535,9
3011,9
3537,9
3530,9
3780,9
1864,9
1222,9
1839,9
1464,9
1858,9
1679,9
3700,9
3701,9
1457,9
1617,9
1680,9
3005,9
3765,9
1672,9
1623,9
3025,9
3024,9
3023,9
1434,9
3612,9
1575,9
3785,9
1423,9
3801,9
3559,9
1636,9
3563,9
1915,9
3271,9
1291,9
1401,9
3595,9
1279,9
2947,9
1392,9
1937,9
1371,9
1189,9
1382,9
1949,9
2963,9
2967,9
3691,9
2974,9
1877,9
1628,9
2995,9
1365,9
3762,9
2991,9
1366,9
3548,9
1209,9
2986,9
2985,9
3552,9
1208,9
1406,9
3692,9
3763,9
3326,9
1832,9
3133,9
1740,9
1252,9
3191,9
1780,9
1320,9
3134,9
1308,9
1307,9
3412,9
3055,9
3132,9
3131,9
1534,9
1782,9
1783,9
3417,9
3738,9
3664,9
3660,9
1775,9
3647,9
3658,9
3176,9
3172,9
3169,9
3379,9
1257,9
1565,9
3156,9
3184,9
3384,9
3385,9
3154,9
1254,9
1767,9
1316,9
3392,9
3395,9
1253,9
1251,9
1519,9
3278,9
3750,9
3081,9
3479,9
1819,9
1607,9
1696,9
3074,9
1823,9
1241,9
1692,9
1310,9
3487,9
